year,group_dir,palette_hex,palette_proportions,n_images,image_source,avg_hue,avg_saturation,avg_brightness
2011,2011_Kappa_Kappa_Gamma,#45352B;#421B12;#695746;#2D3748;#997D60;#445566;#62838B;#CCB975;#8FACC8;#802B25,0.2012;0.1721;0.1620;0.1343;0.0895;0.0702;0.0600;0.0454;0.0350;0.0303,8,youtube,0.0510,0.4307,0.3971
2011,2011_Kappa_Omega_Tau,#431512;#60221D;#392734;#543F43;#9D695E;#825133;#6C5B61;#BA8D7C;#9C2732;#F1C79D,0.2352;0.1585;0.1283;0.1094;0.1055;0.0785;0.0610;0.0590;0.0357;0.0288,7,youtube,0.9954,0.5067,0.4091
2011,2011_Kappa_Sigma,#294335;#41342A;#3D251A;#242B40;#3B4855;#58483D;#726558;#8B8576;#853731;#BDA69C,0.2335;0.2010;0.1321;0.1297;0.0845;0.0809;0.0599;0.0482;0.0176;0.0126,8,youtube,0.1641,0.3792,0.3044
2011,2011_Pi_Beta_Phi,#4A1550;#3E282D;#2E173E;#563D43;#461417;#76585C;#5C2564;#781A25;#947B7D;#BAADA9,0.2429;0.1502;0.1418;0.1024;0.0816;0.0742;0.0707;0.0583;0.0504;0.0277,8,youtube,0.8969,0.5297,0.3430
2012,2012_Alpha_Chi_Omega,#3F2422;#513937;#71544A;#232047;#977168;#7D1E22;#5A486C;#2F3988;#C69E8F;#516FEA,0.2427;0.2015;0.1348;0.1269;0.0931;0.0599;0.0506;0.0431;0.0320;0.0153,8,youtube,0.9723,0.4312,0.3869
2012,2012_Chi_Omega,#471712;#573E2F;#3E3026;#5B5B47;#837056;#823E37;#A6897A;#81A89E;#BFDCE5;#D7B994,0.2024;0.1758;0.1640;0.1278;0.1130;0.0688;0.0618;0.0313;0.0292;0.0259,8,youtube,0.0731,0.4386,0.4038
2012,2012_Delta_Delta_Delta_and_Alpha_Tau_Omega,#3A2B1F;#463F33;#243639;#5E4E42;#7F6855;#D86330;#978F7C;#4E6A63;#7C3B1E;#C3C2AD,0.2288;0.1924;0.1597;0.1265;0.0745;0.0555;0.0543;0.0467;0.0404;0.0212,8,youtube,0.1077,0.3781,0.3588
2012,2012_Kappa_Kappa_Gamma_and_Kappa_Sigma,#403029;#5C4136;#44100E;#695454;#25263E;#906869;#AC808C;#6B120E;#6579A1;#C6AEB1,0.1979;0.1744;0.1226;0.1225;0.1220;0.0834;0.0744;0.0537;0.0285;0.0208,8,youtube,0.9944,0.4161,0.3793
2012,2012_Kappa_Omega_Tau,#3D2326;#513738;#1F2344;#554464;#765447;#6D6F89;#9F7869;#293A83;#9252AA;#C7A7A7,0.2200;0.2005;0.1257;0.1155;0.0999;0.0708;0.0672;0.0380;0.0325;0.0299,8,youtube,0.9061,0.3883,0.3858
2012,2012_Phi_Gamma_Delta,#3A3125;#293143;#524039;#715549;#48566D;#967567;#CDC053;#968736;#5C611F;#BAA7A9,0.2568;0.2185;0.1940;0.0733;0.0648;0.0567;0.0522;0.0343;0.0325;0.0168,8,youtube,0.0594,0.3795,0.3585
