Year,Group,Theme,Placement,Songs,YouTube_Link
2017,Sing Alliance,Piece by Piece,Participated,,https://www.youtube.com/watch?v=NZcoXPgLaWA
2017,Zeta Tau Alpha,Can You Hear the Bells?,Participated,,https://www.youtube.com/watch?v=svkPhXWrSzM
2018,Alpha Chi Omega,Sky Full of Stars,Participated,,https://www.youtube.com/watch?v=77AUpHrQxC0
2018,Alpha Delta Pi,When Life Gives You Lemons,Participated,,https://www.youtube.com/watch?v=cpJybIFIeTY
2018,Alpha Tau Omega,Life Ain't Half Dad,Pigskin,,https://www.youtube.com/watch?v=HRlR8_uLDng
2018,Beta Theta Pi,Beta Our Guest,Participated,,
2018,Chi Omega,Shiny Teeth and Me,Pigskin,,https://www.youtube.com/watch?v=WBAX4hz0clM
2018,Delta Delta Delta,Back to Our Roots,3rd,,
2018,Delta Tau Delta,Wizard School,Participated,,
2018,Kappa Alpha Theta,Alley Cats,Pigskin,,https://www.youtube.com/watch?v=57Q-E6Cfw5M
2018,Kappa Chi Alpha,Singing in the Rain,Participated,,https://www.youtube.com/watch?v=ez-H5-dd4Kc
2018,Kappa Kappa Gamma,Workin' at the Carwash,2nd,,https://www.youtube.com/watch?v=kWKEzFr_7pI
2018,Kappa Omega Tau,Sweet Dreams,Pigskin,,https://www.youtube.com/watch?v=9pzwq97WmW0
2018,Phi Gamma Delta,Foos'n Around,Pigskin,,https://www.youtube.com/watch?v=5bCxb2GEYFk
2018,Pi Beta Phi & Phi Kappa Chi,The Tortoise and the Hare,1st,,https://www.youtube.com/watch?v=rgn-GBYgS88
2018,Pi Kappa Phi,Greasers,Participated,,https://www.youtube.com/watch?v=w_yupBpLI9c
2018,Sigma Chi,Texas Revolution,Participated,,https://www.youtube.com/watch?v=__crPAGHkuE
2018,Sing Alliance,Sweatin' With Sing Alliance,Participated,,https://www.youtube.com/watch?v=ZeX9-HYnBTw
2018,Zeta Tau Alpha,Desktop Daydream,Participated,,https://www.youtube.com/watch?v=mTnpZ-ts5P8
2019,Alpha Chi Omega,Soap Opera,Participated,,https://www.youtube.com/watch?v=0p1pqwOVZqU
2019,Alpha Delta Pi,Coming to You Live from ADPI,Participated,Good Morning Baltimore; Shut Up and Drive (Rihanna),https://www.youtube.com/watch?v=1g9_46U7ksM
2019,Beta Theta Pi,Jurassic Waco,Participated,,
2019,Beta Upsilon Chi,Batter Up!,Participated,The Star Spangled Banner,
2019,Chi Omega,Can't Stop the Bees,2nd,Honey Honey (ABBA),https://www.youtube.com/watch?v=ygfyCHHIiYs
2019,Delta Delta Delta & Alpha Tau Omega,Rockin' New Year's Eve,Pigskin,,https://www.youtube.com/watch?v=Xj7-gb_-rDA
2019,Delta Tau Delta,Deltwatch,Participated,,
2019,Kappa Alpha Theta,Where Ewe Lead,Participated,,https://www.youtube.com/watch?v=pryctqYdnxg
2019,Kappa Chi Alpha,Home Sweet Home,3rd,,https://www.youtube.com/watch?v=ySWFwosA5sk
2019,Kappa Kappa Gamma,Kappa Air,Pigskin,,https://www.youtube.com/watch?v=lVMlZFR7wiU
2019,Kappa Omega Tau,The Night Before Christmas,1st,Look Down (Les Misérables),https://www.youtube.com/watch?v=jZyLLd9moE0
2019,Kappa Sigma,Finding Bigfoot,Pigskin,Kill the Beast,https://www.youtube.com/watch?v=pCyBtcRhEY4
2019,Phi Gamma Delta,Phi Gam's Island,Participated,Gilligan's Island Theme,
2019,Phi Kappa Chi,The New Kid on the Block,Pigskin,,https://www.youtube.com/watch?v=xUkeSEjIhIo
2019,Pi Beta Phi,Tick Tock Cuckoo Clock,Participated,,
2019,Pi Kappa Phi,Galactic Slam,Participated,Uprising (Muse),
2019,Sigma Chi,Time Warp,Participated,,https://www.youtube.com/watch?v=R447-0xkhyE
2019,Sing Alliance,Framed,Participated,,https://www.youtube.com/watch?v=Usq-tks8bHg
2019,Zeta Tau Alpha,Livin' La Vida Mocha,Pigskin,That's Not My Name (The Ting Tings),https://www.youtube.com/watch?v=EMGF2lRx0qs
2020,Alpha Chi Omega,The Ghouls Next Door,Participated,,https://www.youtube.com/watch?v=t5ryZ96qgqE
2020,Alpha Delta Pi,Wonderland: A Change of Heart,Participated,,https://www.youtube.com/watch?v=juPPB8moQEY
2020,Alpha Tau Omega,A Lumberjack Soundtrack,Participated,,https://www.youtube.com/watch?v=vR99DeC6riw
2020,Beta Upsilon Chi,Full Throttle,Participated,,
2020,Chi Omega,Maid to Mooove,Participated,,https://www.youtube.com/watch?v=PS47_1t5eIU
2020,Delta Delta Delta,"Starlight, Star Bright",Participated,Hey Now,
2020,Delta Tau Delta,Delt Jailbreak,Participated,,https://www.youtube.com/watch?v=XedDltLP8dA
2020,Kappa Alpha Theta,The Secret Life of Kats and Dogs,Participated,,https://www.youtube.com/watch?v=2gTpTvMfT1w
2020,Kappa Chi Alpha,Are We There Yet?,Participated,Phineas and Ferb Theme; I Want Candy,https://www.youtube.com/watch?v=CJbWPlbGCU4
2020,Kappa Kappa Gamma & Kappa Sigma,The Ship of Dreams,1st,Beyond the Sea,https://www.youtube.com/watch?v=ylvHyZUpvfc
2020,Kappa Omega Tau,The Magic of Mardi Gras,Participated,High Hopes; The Greatest Show,https://www.youtube.com/watch?v=W8zSpJv3xKU
2020,Multicultural Alliance,Baylor Homecoming: Another Side,Participated,Lose You to Love Me,
2020,Phi Gamma Delta,Movers and Groovers,Participated,,https://www.youtube.com/watch?v=-xmuOyfe1R4
2020,Phi Kappa Chi,So Tied Up,2nd,,https://www.youtube.com/watch?v=A-rVHJt4cPw
2020,Pi Beta Phi,Meet the Phlinstones,Participated,,https://www.youtube.com/watch?v=aVQO7v7o4L4
2020,Sigma Alpha Epsilon & Alpha Phi,Saphi Can Do It!,Participated,I Need Somebody; Woman Up,https://www.youtube.com/watch?v=sml1AAMd6cs
2020,Sing Alliance,Stupid Cupid,3rd,,https://www.youtube.com/watch?v=4_a4hd9m6ow
2020,Zeta Tau Alpha,Ring by Sing,Participated,,https://www.youtube.com/watch?v=hCR7xhE5l4o
